Dossier de Prêt;Solde du Compte Courant;Durée du Prêt;Remboursement des Prêts Antérieurs;Objectif du Prêt;Montant du Prêt;Valeur de l'Épargne;Ancienneté chez l'Employeur Actuel;Endettement en % du Revenu Disponible;Statut Marital;Sexe;Ancienneté dans le Ménage Actuel;Actifs les Plus Importants;Age;Autres Prêts en Cours;Type de Logement;Nombre de Prêts Antérieurs dans cette Banque;Occupation;Ensemble
bon;>300€;24;aucun prêt antérieur;mobilier;1 789,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;< 1 an;aucun actif;34;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;24;aucun prêt antérieur;véhicule d'occasion;5 560,80 €;pas d'épargne;5-8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;véhicule;23;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
mauvais;pas de compte courant;6;remboursement intégral;véhicule d'occasion;4 737,60 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé;Homme;>8 ans;aucun actif;42;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
bon;>300€;6;aucun prêt antérieur;mobilier;1 884,40 €;<140;> 8 ans;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;40;banques concurrentes;propriétaire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;aucun prêt antérieur;véhicule neuf;4 149,60 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;47;banques concurrentes;propriétaire;1;salarié expérimenté;Test
bon;négligeable;24;remboursement intégral;mobilier;2 440,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;1-5 ans;véhicule;46;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;18;remboursement intégral;mobilier;2 214,80 €;700-1400;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;44;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;24;aucun prêt antérieur;autre;1 897,00 €;pas d'épargne;<1 an;15- 25;divorcé/séparé/marié;Femme;>8 ans;assurance vie;23;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;24;remboursement intégral;véhicule d'occasion;2 219,00 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;5-8 ans;véhicule;38;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;12;aucun prêt antérieur;autre;896,00 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé;Homme;1-5 ans;aucun actif;47;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;6;remboursement intégral;mobilier;2 175,60 €;pas d'épargne;5-8 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;22;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;12;aucun problème avec les prêts antérieurs;électroménager;2 177,00 €;700-1400;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;53;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;remboursement intégral;réorientation professionnelle;5 794,60 €;<140;1-5 ans;15- 25;célibataire;Homme;5-8 ans;véhicule;25;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
mauvais;négligeable;21;aucun prêt antérieur;réorientation professionnelle;3 873,80 €;<140;> 8 ans;< 15;divorcé/séparé;Homme;1-5 ans;assurance vie;59;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;12;remboursement intégral;mobilier;3 263,40 €;>1400;> 8 ans;> 35;célibataire;Homme;>8 ans;aucun actif;47;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;9;aucun prêt antérieur;véhicule d'occasion;1 838,20 €;pas d'épargne;> 8 ans;> 35;célibataire;Homme;>8 ans;assurance vie;18;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;26;aucun prêt antérieur;véhicule neuf;11 152,40 €;pas d'épargne;<1 an;25-35;célibataire;Homme;5-8 ans;assurance vie;28;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;24;remboursement intégral;véhicule neuf;9 261,00 €;pas d'épargne;sans emploi;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;73;pas d'autres prêts en cours;propriétaire;02-avr;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;30;aucun prêt antérieur;véhicule d'occasion;8 890,00 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;29;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;24;aucun prêt antérieur;autre;3 805,20 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;>8 ans;véhicule;18;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;4;remboursement intégral;mobilier;2 161,60 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;< 1 an;aucun actif;40;pas d'autres prêts en cours;locataire;05-juin;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;24;aucun prêt antérieur;autre;1 933,40 €;>1400;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;véhicule;33;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;48;aucun prêt antérieur;véhicule d'occasion;13 944,00 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;24;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;18;aucun prêt antérieur;véhicule neuf;3 890,60 €;pas d'épargne;1-5 ans;> 35;marié/veuf;Homme;5-8 ans;assurance vie;19;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;comptes courants à problèmes;véhicule d'occasion;3 959,20 €;140-700;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;20;grand magasin;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;48;aucun prêt antérieur;autre;10 868,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;40;banques concurrentes;propriétaire;1;cadre/profession libérale;Test
bon;>300€;11;aucun prêt antérieur;réorientation professionnelle;2 998,80 €;700-1400;> 8 ans;> 35;divorcé/séparé;Homme;1-5 ans;aucun actif;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;mobilier;1 978,20 €;pas d'épargne;1-5 ans;< 15;marié/veuf;Homme;1-5 ans;véhicule;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;21;aucun prêt antérieur;autre;3 894,80 €;140-700;5-8 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;29;banques concurrentes;locataire;1;cadre/profession libérale;Apprentissage
bon;<= 300€;6;remboursement intégral;autre;1 880,20 €;pas d'épargne;> 8 ans;> 35;célibataire;Homme;>8 ans;aucun actif;44;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;négligeable;12;aucun prêt antérieur;autre;959,00 €;pas d'épargne;5-8 ans;25-35;marié/veuf;Homme;5-8 ans;assurance vie;23;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Test
mauvais;négligeable;48;aucun prêt antérieur;réorientation professionnelle;21 940,80 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;21;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;2 319,80 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;25;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;négligeable;12;aucun prêt antérieur;véhicule d'occasion;1 331,40 €;<140;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;25;banques concurrentes;à titre gracieux;7 et +;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;36;aucun prêt antérieur;véhicule d'occasion;7 250,60 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;1-5 ans;véhicule;27;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;18;délicat;véhicule d'occasion;4 541,60 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;31;banques concurrentes;locataire;02-avr;salarié expérimenté;Test
mauvais;négligeable;30;remboursement intégral;véhicule d'occasion;11 740,40 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;1-5 ans;véhicule;47;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;pas de compte courant;36;remboursement intégral;véhicule neuf;13 480,60 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;22;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;remboursement intégral;réorientation professionnelle;6 336,40 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;1-5 ans;aucun actif;72;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;24;remboursement intégral;véhicule d'occasion;5 287,80 €;700-1400;1-5 ans;< 15;célibataire;Homme;>8 ans;aucun actif;38;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;<= 300€;10;aucun prêt antérieur;autre;5 528,60 €;pas d'épargne;<1 an;> 35;célibataire;Homme;< 1 an;véhicule;35;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;45;remboursement intégral;véhicule neuf;6 406,40 €;<140;sans emploi;15- 25;célibataire;Homme;>8 ans;assurance vie;25;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;24;remboursement intégral;électroménager;7 709,80 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;42;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;24;aucun prêt antérieur;mobilier;2 854,60 €;pas d'épargne;<1 an;> 35;marié/veuf;Homme;< 1 an;véhicule;20;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;pas de compte courant;9;aucun prêt antérieur;mobilier;1 909,60 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;>8 ans;aucun actif;57;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;négligeable;60;aucun prêt antérieur;autre;19 637,80 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;25;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;négligeable;12;aucun prêt antérieur;autre;10 460,80 €;>1400;sans emploi;> 35;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;22;pas d'autres prêts en cours;à titre gracieux;1;sans expérience et sans domicile fixe;Apprentissage
bon;>300€;30;aucun prêt antérieur;mobilier;3 266,20 €;140-700;> 8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;28;banques concurrentes;locataire;1;cadre/profession libérale;Test
mauvais;négligeable;12;aucun prêt antérieur;véhicule d'occasion;2 690,80 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;véhicule;35;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;12;aucun prêt antérieur;véhicule d'occasion;1 068,20 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;30;délicat;réorientation professionnelle;11 300,80 €;>1400;<1 an;25-35;célibataire;Homme;5-8 ans;assurance vie;23;banques concurrentes;locataire;05-juin;salarié expérimenté;Test
bon;pas de compte courant;18;aucun problème avec les prêts antérieurs;réparations;11 859,40 €;>1400;1-5 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;21;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Test
mauvais;négligeable;39;remboursement intégral;mobilier;6 906,20 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;23;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;24;aucun problème avec les prêts antérieurs;mobilier;2 322,60 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;27;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Test
bon;négligeable;39;aucun problème avec les prêts antérieurs;réparations;16 464,00 €;<140;5-8 ans;25-35;célibataire;Homme;5-8 ans;propriétaire d'un logement/terrain;30;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
mauvais;>300€;48;remboursement intégral;véhicule neuf;16 226,00 €;<140;1-5 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;22;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;15;aucun prêt antérieur;mobilier;1 698,20 €;140-700;> 8 ans;< 15;célibataire;Homme;5-8 ans;véhicule;45;grand magasin;locataire;1;salarié expérimenté;Test
mauvais;négligeable;21;aucun prêt antérieur;réorientation professionnelle;1 663,20 €;pas d'épargne;> 8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;véhicule;37;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;pas de compte courant;15;aucun prêt antérieur;autre;5 542,60 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;véhicule;27;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;négligeable;9;remboursement intégral;réparations;1 590,40 €;700-1400;> 8 ans;< 15;célibataire;Homme;5-8 ans;propriétaire d'un logement/terrain;30;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;10;remboursement intégral;véhicule d'occasion;3 004,40 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;5-8 ans;aucun actif;21;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;aucun prêt antérieur;véhicule d'occasion;2 445,80 €;pas d'épargne;<1 an;< 15;célibataire;Homme;< 1 an;véhicule;22;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;>300€;15;aucun prêt antérieur;autre;4 978,40 €;>1400;1-5 ans;15- 25;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;27;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;42;aucun problème avec les prêts antérieurs;mobilier;6 118,00 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;1-5 ans;véhicule;24;banques concurrentes;locataire;02-avr;salarié expérimenté;Test
mauvais;négligeable;15;comptes courants à problèmes;autre;9 590,00 €;<140;sans emploi;> 35;célibataire;Homme;1-5 ans;véhicule;32;grand magasin;locataire;1;cadre/profession libérale;Test
bon;>300€;11;remboursement intégral;autre;1 950,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;33;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;pas de compte courant;15;aucun prêt antérieur;autre;3 515,40 €;pas d'épargne;sans emploi;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;21;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;négligeable;48;délicat;réorientation professionnelle;20 189,40 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;23;grand magasin;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;48;remboursement intégral;véhicule neuf;8 600,20 €;pas d'épargne;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;56;grand magasin;propriétaire;02-avr;sans expérience avec domicile fixe;Test
mauvais;négligeable;30;aucun problème avec les prêts antérieurs;mobilier;2 686,60 €;<140;<1 an;< 15;célibataire;Homme;5-8 ans;propriétaire d'un logement/terrain;28;grand magasin;locataire;02-avr;cadre/profession libérale;Test
mauvais;>300€;12;remboursement intégral;mobilier;1 115,80 €;>1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;5-8 ans;véhicule;31;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;12;aucun prêt antérieur;mobilier;1 549,80 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;18;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Test
mauvais;pas de compte courant;9;aucun prêt antérieur;mobilier;1 912,40 €;pas d'épargne;<1 an;15- 25;divorcé/séparé/marié;Femme;>8 ans;véhicule;20;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;<= 300€;18;comptes courants à problèmes;mobilier;2 023,00 €;>1400;5-8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;47;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Test
mauvais;négligeable;48;aucun problème avec les prêts antérieurs;réparations;8 713,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;48;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;24;aucun prêt antérieur;véhicule neuf;16 184,00 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;21;pas d'autres prêts en cours;à titre gracieux;02-avr;cadre/profession libérale;Apprentissage
bon;négligeable;13;aucun prêt antérieur;mobilier;2 941,40 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;>8 ans;véhicule;21;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
